,FactGLTranID,JournalID,GLTranDescription,GLTranAmount,GLTranDate,GLAcctNum,GLAcctName,Statement,Category,Subcategory,StoreNum,StoreName,ManagerID,PreviousManagerID,ContactTel,AddressLine1,AddressLine2,ZipCode,RegionNum,RegionName,SalesRegionName,LastRefreshDate
0,1,609,Term Loan Injection,500000.0,2019-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
1,2,609,Term Loan Injection,-500000.0,2019-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
2,3,1828,Term Loan - Interest Payment,24861.11,2019-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
3,4,1540,Term Loan - Interest Payment,24791.67,2019-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
4,5,1682,Term Loan - Interest Payment,24652.78,2019-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
5,6,878,Term Loan - Interest Payment,24513.89,2019-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
6,7,894,Term Loan - Interest Payment,24375.0,2019-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
7,8,1003,Term Loan - Interest Payment,24236.11,2019-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
8,9,1823,Term Loan - Interest Payment,24097.22,2019-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
9,10,1263,Term Loan - Interest Payment,23958.33,2019-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2023-04-11 02:41:08.827
